weffs24,RT @DHLRugby: RT & Follow @DHLRugby to win tickets to the Semi-final of #RWC2015!  Ts&Cs: http://t.co/06KeYjKLy5 http://t.co/LJa5G0gwCk,
DerdimusNeary,RT @JiffyRugby: One of the greatest @IrishRugby players of all time..Paul O'Connell legend! #RWC2015 #IRE  http://t.co/268y1XAuBb,
stevenchap92,RT @RugbyLAD7: Still no news on the Sean O'Brien verdict... #RWC2015 http://t.co/75Qv7HUWYY,
doti29,RT @SuperSportTV: The quarter-finals have been decided. Who will make it in to the #RWC2015 semi-finals this weekend? #SSRugby http://t.co/…,
thomo_m,RT @DHLRugby: RT & Follow @DHLRugby to win tickets to the Semi-final of #RWC2015!  Ts&Cs: http://t.co/06KeYjKLy5 http://t.co/LJa5G0gwCk,
jerotello,Lindas historias en los 4tos de final de la #RWC2015. #IREvARG se cruzaron en 1999 2003 y 2007 con dos triunfos para #ARG y uno para #IRE.,
AineOFarrell,RT @RobTimony: Surely it's time to get @GardaTraffic involved in this Sean O'Brien hearing. He's practically been kidnapped. #RWC2015 #Shou…,
craiggjoyce,@evansamuel5 fuck you #RWC2015 @RickyElwood,
IzzaldenAbdalla,RT @rugbyworldcup: 1 match 10 tries 2 hat-tricks. Thank you MANCHESTER for hosting #ENG v #URU #RWC2015 @MCFC @ManCityCouncil http://t.co…,
ruedecancel,RT @asahi_sports: ??????????????????????????????????????????? http://t.co/2Fz7KzyQTB #RWC2015 #JapanWay http://t.co/zzH3EsiwSx,
Gonzalo08232004,RT @rugbyworldcup: The latest @worldrugby rankings are out following the #RWC2015 Pool matches. Here's the Top 10: http://t.co/6HGZ18WFcX,
mrdufresne,RT @IrishRugby: A leader a warrior a gentleman - @Paul_OConnell has played his last for Ireland. #ShoulderToShoulder #RWC2015 http://t.co…,
_Salesian,RT @MPsportsdragon: Nigel Owens & Richie Mccaw will referee #NZLvFRA in Cardiff on Saturday #RWC2015 #allblacks http://t.co/gTx6kQUflv,
LukeHarte,RT @DHLRugby: RT & Follow @DHLRugby to win tickets to the Semi-final of #RWC2015!  Ts&Cs: http://t.co/06KeYjKLy5 http://t.co/LJa5G0gwCk,
JSoula,RT @sudradio: #RWC2015 @yanndelaigue : "Le staff est assez intelligent pour comprendre que les joueurs veulent plus de responsabilités." @J…,
therealGDJ,RT @RobTimony: Surely it's time to get @GardaTraffic involved in this Sean O'Brien hearing. He's practically been kidnapped. #RWC2015 #Shou…,
JSoula,RT @sudradio: #RWC2015 @BriceDulin : "C'est à nous les joueurs de prendre les choses en main." @JSoula #sudradiosports #FRANZL,
SeanPrior11,RT @Rugby_Chat: Modern Day Haka vs 1973 Haka. Bit of a contrast... #RWC2015 via @paddypower  https://t.co/RjcDKHwgW5,
JSoula,RT @sudradio: #RWC2015 @AUBINHUEBER : "Si on veut relever le défi #allblacks il faut mettre du combattant." #FRANZL @JSoula @yanndelaigue,
tatiitablanco,RT @ScrumESPN: #RUGBYxESPN #RWC2015 Querían evitarse pero el destino los unió: #NuevaZelanda y #Francia chocarán en 4tos -> http://t.co/qZJ…,
dincarroll1984,RT @Merser01: #seanobrien #RWC2015 http://t.co/r8rAWwsyKZ,
JSoula,RT @sudradio: #RWC2015 @BriceDulin : "C'est dans la réaction qu'on trouvera les ressources nécessaires." @JSoula #sudradiosports #FRANZL,
DrivingMaul,Check out the #RugbyChat per-show on YouTube http://t.co/f4MLfPJmA0 #RWC2015,
nicantizzy,RT @WalesRugby: Good news? Or bad? Wayne Barnes will referee #WAL' #RWC2015 quarter-final clash with #RSA at Twickenham on Saturday http://…,
JSoula,RT @sudradio: #RWC2015 @yanndelaigue : "C'est dans les moments difficiles que des hommes peuvent se révéler." @JSoula #FRANZL @AUBINHUEBER,
sarahkappleton,Because the #RWC2015 isn't all doom and gloom. Even for an England fan! https://t.co/DPLsbUmJpQ #sportingfails,
ChairRugbyON,RT @Phil_Mackenzie1: Last post on my @rugbyworldcup journey! Thanks again to everyone who supported us throughout! #RWC2015  https://t.co/2…,
Mikey10McCarthy,RT @DHLRugby: RT & Follow @DHLRugby to win tickets to the Semi-final of #RWC2015!  Ts&Cs: http://t.co/06KeYjKLy5 http://t.co/LJa5G0gwCk,
gregory_john,RT @DHLRugby: RT & Follow @DHLRugby to win tickets to the Semi-final of #RWC2015!  Ts&Cs: http://t.co/06KeYjKLy5 http://t.co/LJa5G0gwCk,
JSoula,RT @sudradio: #RWC2015 #FRANZL @AUBINHUEBER : "Les #allblacks savent que le #XVdeFrance est capable de tout." @JSoula @yanndelaigue #sudrad…,
gaertach,RT @PatrickYuen_36: Something is not right! #Pocock has been let off w/ his kneeing while #Tuilagi got 2 weeks ban. #RWC2015 https://t.co/…,
Cammymcgovern,RT @Rugby_Chat: Modern Day Haka vs 1973 Haka. Bit of a contrast... #RWC2015 via @paddypower  https://t.co/RjcDKHwgW5,
SinghT2j,RT @rugbyworldcup: LEICESTER thank you so much! 5 teams 3 matches 1 ball in space & lots of great fans #RWC2015 @LCFC @Leicester_News ht…,
gaertach,RT @rugbyworldcup: A MAN APART @Paul_OConnell calls time on #IRE career as injury ends his #RWC2015 journey http://t.co/D73d6uUrWV ?? http:…,
Jcb_180277,RT @DHLRugby: RT & Follow @DHLRugby to win tickets to the Semi-final of #RWC2015!  Ts&Cs: http://t.co/06KeYjKLy5 http://t.co/LJa5G0gwCk,
DavidJordanTS,RT @IrishRugby: ICYMI: @lukefitz11 shows @McIlroyRory how to Grip It And Rip It #ShoulderToShoulder #rwc2015 https://t.co/K6aL4iNzZ9,
AnotherSmith91,RT @paddypower: The Haka from 1973 is truly a sight to behold. Like a group of old men shuffling at the end of a wedding. #RWC2015 https://…,
freebigbets,RT @BBCSport: England move out... South Africa move in.  The Springboks take over Pennyhill http://t.co/c6CI6d2IQg #RWC2015 http://t.co/zX7…,
YBGTAX,YBG_Anthony: Live Rugby Union World 2015 Cup TV Schedule - Internet Free & Live #rwc2015 #England http://t.co/rDai5YZHE2,
FinanzCashFlow,YBG_Anthony: Live Rugby Union World 2015 Cup TV Schedule - Internet Free & Live #rwc2015 #England http://t.co/HobY5Z6nWv,
YBGTAX,YBG_Anthony: Rugby World Cup 2015 Website & Numbers #rwc2015 #Twickenham http://t.co/b2oVLUYAWM,
Jrsideproject,RT @rugbyworldcup: OFFICIAL NEWS Wayne Barnes Nigel Owens Jerome Garces & Craig Joubert to ref #RWC2015 QFs: http://t.co/eN5djOWGrE http:…,
FinanzCashFlow,YBG_Anthony: Rugby World Cup 2015 Website & Numbers #rwc2015 #Twickenham http://t.co/A9ppl1p8qT,
redhood679,RT @DHLRugby: RT & Follow @DHLRugby to win tickets to the Semi-final of #RWC2015!  Ts&Cs: http://t.co/06KeYjKLy5 http://t.co/LJa5G0gwCk,
